document.id,topic.id,method,score
3591,4.623,exact-match,0.0
3591,4.207,exact-match,0.0
3591,4.338,exact-match,0.0
3591,4.699,exact-match,0.0
3591,4.99,exact-match,0.0
3591,4.393,exact-match,0.0
3591,4.306,exact-match,0.0
3591,4.629,exact-match,0.0
3591,4.684,exact-match,0.0
3591,4.9,exact-match,0.0
3591,4.756,exact-match,0.0
3591,4.571,exact-match,0.0
3591,4.285,exact-match,0.0
3591,4.656,exact-match,0.0
3591,4.423,exact-match,0.0
3591,4.528,exact-match,0.0
3591,4.22,exact-match,0.0
3591,4.432,exact-match,0.0
3591,4.632,exact-match,0.0
3591,4.405,exact-match,0.0
3591,4.744,exact-match,0.0
3591,4.445,exact-match,0.0
3591,4.28,exact-match,0.0
3601,4.815,exact-match,0.0
3601,4.439,exact-match,0.0
3601,4.426,exact-match,0.0
3601,4.285,exact-match,0.0
3601,4.369,exact-match,0.0
3601,4.619,exact-match,0.0
3601,4.396,exact-match,0.0
3601,4.229,exact-match,0.0
3601,4.433,exact-match,0.0
3601,4.98,exact-match,0.0
3601,4.611,exact-match,0.0
3601,4.519,exact-match,0.0
3601,4.499,exact-match,0.0
3601,4.438,exact-match,0.0
3601,4.629,exact-match,0.0
3601,4.434,exact-match,0.0
3601,4.535,exact-match,0.0
3601,4.291,exact-match,0.0
3601,4.475,exact-match,0.0
3601,4.715,exact-match,0.0
3601,4.279,exact-match,0.0
3601,4.120,exact-match,0.0
3601,4.557,exact-match,0.0
3601,4.610,exact-match,0.0
3601,4.0,exact-match,0.0
3601,4.181,exact-match,0.0
3601,4.207,exact-match,0.0
3601,4.744,exact-match,0.0
3601,4.9,exact-match,0.0
3601,4.53,exact-match,0.0
3601,4.28,exact-match,0.0
3601,4.571,exact-match,0.0
3601,4.306,exact-match,0.0
3601,4.339,exact-match,0.0
3601,4.684,exact-match,0.0
3601,4.531,exact-match,0.0
3601,4.522,exact-match,0.0
3601,4.175,exact-match,0.0
3601,4.756,exact-match,0.0
3601,4.528,exact-match,0.0
3601,4.395,exact-match,0.0
